lowest_taxon,phylum,class,order,family,genus,species,aihualama_1,aihualama_2,aihualama_3,aihualama_4,total_reads,percent_total_reads
Glomerida,Arthropoda,Diplopoda,Glomerida,NA,NA,NA,0,0,0,2,2,0.002%
Haplozetidae,Arthropoda,Arachnida,Sarcoptiformes,Haplozetidae,NA,NA,0,0,3,0,3,0.003%
Harpacticoida,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,5,0,0,0,5,0.005%
Harpacticoida sp. 10BIOBC-01226,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,Harpacticoida sp. 10BIOBC-01226,3,5,5,0,13,0.013%
Hemiptera,Arthropoda,Insecta,Hemiptera,NA,NA,NA,35,0,25,43,103,0.102%
Hemitrichapion reflexum,Arthropoda,Insecta,Coleoptera,Apionidae,Hemitrichapion,Hemitrichapion reflexum,0,0,0,63,63,0.063%
Hexanauplia sp.,Arthropoda,Hexanauplia,NA,NA,NA,Hexanauplia sp.,0,0,0,10,10,0.010%
Holothrips sp. TH93,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,Holothrips,Holothrips sp. TH93,0,0,11,9,20,0.020%
Hyalidae,Arthropoda,Malacostraca,Amphipoda,Hyalidae,NA,NA,0,2,0,0,2,0.002%
Hydroporus sp. IBE<ESP> AV45,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus sp. IBE<ESP> AV45,0,0,0,4,4,0.004%
Hymenoptera,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,42,28,10,5,85,0.084%
Hyposmocoma,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,Hyposmocoma,NA,8,0,11,8,27,0.027%
Hyposmocoma saccophora,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,Hyposmocoma,Hyposmocoma saccophora,0,0,95,0,95,0.094%
Hypothenemus sp.,Arthropoda,Insecta,Coleoptera,Curculionidae,Hypothenemus,Hypothenemus sp.,448,0,15,0,463,0.459%
Hypothyris cantobrica,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypothyris,Hypothyris cantobrica,10,0,0,0,10,0.010%
Ichneumonidae,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,NA,NA,0,0,0,7,7,0.007%
Indoapseudes bamberi,Arthropoda,Malacostraca,Tanaidacea,Pagurapseudidae,Indoapseudes,Indoapseudes bamberi,61,0,0,0,61,0.061%
Insecta,Arthropoda,Insecta,NA,NA,NA,NA,285,352,705,135,1477,1.466%
Isopoda,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,0,8,0,0,8,0.008%
Isotes sp. JJG145,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Isotes,Isotes sp. JJG145,0,3,0,0,3,0.003%
Isotomidae,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,NA,NA,0,0,0,11,11,0.011%
Japygidae sp.,Arthropoda,NA,Diplura,Japygidae,NA,Japygidae sp.,15,0,0,0,15,0.015%
Labiobaetis kui,Arthropoda,Insecta,Ephemeroptera,Baetidae,Labiobaetis,Labiobaetis kui,0,0,0,17,17,0.017%
Lasionectes exleyi,Arthropoda,Remipedia,Nectiopoda,Speleonectidae,Lasionectes,Lasionectes exleyi,0,4,0,0,4,0.004%
Latrodectus,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,NA,0,0,8,0,8,0.008%
Lepidoptera,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,106,14,30,6,156,0.155%
Lepidostomatidae,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,NA,NA,0,0,41,0,41,0.041%
Longileptoneta jangseongensis,Arthropoda,Arachnida,Araneae,Leptonetidae,Longileptoneta,Longileptoneta jangseongensis,0,0,4,0,4,0.004%
Loxosceles sp. Gran Canaria 2,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles sp. Gran Canaria 2,0,0,24,0,24,0.024%
Macrocyclops,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,NA,0,0,0,7,7,0.007%
Macrothrix sp. HE-364,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364,0,49,7,0,56,0.056%
Magdalis,Arthropoda,Insecta,Coleoptera,Curculionidae,Magdalis,NA,0,15,0,0,15,0.015%
Malacostraca,Arthropoda,Malacostraca,NA,NA,NA,NA,0,0,234,0,234,0.232%
Megalomyrmex sp. AEV4231,Arthropoda,Insecta,Hymenoptera,Formicidae,Megalomyrmex,Megalomyrmex sp. AEV4231,0,3,0,0,3,0.003%
Metrichia amplitudinis,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Metrichia,Metrichia amplitudinis,0,4,0,0,4,0.004%
Microcreagrinae sp. UAIC<USA-AZ> 1113014,Arthropoda,Arachnida,Pseudoscorpiones,Neobisiidae,NA,Microcreagrinae sp. UAIC<USA-AZ> 1113014,2,0,0,0,2,0.002%
Microdeutopus sp. SFC34-003,Arthropoda,Malacostraca,Amphipoda,Aoridae,Microdeutopus,Microdeutopus sp. SFC34-003,21,0,0,0,21,0.021%
Mitopus morio,Arthropoda,Arachnida,Opiliones,Phalangiidae,Mitopus,Mitopus morio,0,7,4,3,14,0.014%
Mutillidae,Arthropoda,Insecta,Hymenoptera,Mutillidae,NA,NA,0,0,0,35,35,0.035%
Myrsidea seminuda,Arthropoda,Insecta,Phthiraptera,Menoponidae,Myrsidea,Myrsidea seminuda,0,0,0,4,4,0.004%
Nannastacidae,Arthropoda,Malacostraca,Cumacea,Nannastacidae,NA,NA,0,48,0,0,48,0.048%
Neanuridae,Arthropoda,Collembola,Poduromorpha,Neanuridae,NA,NA,0,0,14,0,14,0.014%
Nitidulidae sp. BOLD:AAU6932,Arthropoda,Insecta,Coleoptera,Nitidulidae,NA,Nitidulidae sp. BOLD:AAU6932,0,28,0,0,28,0.028%
Noctuidae,Arthropoda,Insecta,Lepidoptera,Noctuidae,NA,NA,0,0,0,13,13,0.013%
Nuncia,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Nuncia,NA,0,0,26,0,26,0.026%
Nurudea,Arthropoda,Insecta,Hemiptera,Aphididae,Nurudea,NA,0,60,3022,0,3082,3.058%
Opius sp.,Arthropoda,Insecta,Hymenoptera,Braconidae,Opius,Opius sp.,0,3,0,0,3,0.003%
Orconectes barri,Arthropoda,Malacostraca,Decapoda,Cambaridae,Orconectes,Orconectes barri,0,4,0,0,4,0.004%
Orthoptera,Arthropoda,Insecta,Orthoptera,NA,NA,NA,23,31,257,9,320,0.318%
Pachyta quadrimaculata,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pachyta,Pachyta quadrimaculata,0,0,28,45,73,0.072%
Parachtes,Arthropoda,Arachnida,Araneae,Dysderidae,Parachtes,NA,2,0,0,2,4,0.004%
Paraspirobolus lucifugus,Arthropoda,Diplopoda,Spirobolida,Spirobolellidae,Paraspirobolus,Paraspirobolus lucifugus,0,21,0,0,21,0.021%
Parisotoma,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Parisotoma,NA,0,0,2,0,2,0.002%
Patawatermes sp. A TB-2017,Arthropoda,Insecta,Blattodea,Termitidae,Patawatermes,Patawatermes sp. A TB-2017,0,142,0,0,142,0.141%
Pealius,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Pealius,NA,0,49,0,0,49,0.049%
Penaeidae,Arthropoda,Malacostraca,Decapoda,Penaeidae,NA,NA,0,0,0,4,4,0.004%
Perilitus,Arthropoda,Insecta,Hymenoptera,Braconidae,Perilitus,NA,0,5,0,0,5,0.005%
Peripsocus,Arthropoda,Insecta,Psocoptera,Peripsocidae,Peripsocus,NA,0,0,18,0,18,0.018%
Pheidole,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,NA,0,0,0,9,9,0.009%
Physocyclus validus,Arthropoda,Arachnida,Araneae,Pholcidae,Physocyclus,Physocyclus validus,0,0,0,15,15,0.015%
Planococcus lilacinus,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Planococcus,Planococcus lilacinus,0,34,47,0,81,0.080%
Podocopida,Arthropoda,Ostracoda,Podocopida,NA,NA,NA,17,0,4,0,21,0.021%
Polypedilum convictum,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convictum,0,0,0,19,19,0.019%
Protura sp.,Arthropoda,Protura,NA,NA,NA,Protura sp.,0,0,0,2,2,0.002%
Pseudoniphargus brevipedunculatus,Arthropoda,Malacostraca,Amphipoda,Allocrangonyctidae,Pseudoniphargus,Pseudoniphargus brevipedunculatus,0,0,0,10,10,0.010%
Ptiliidae sp. BOLD-2016,Arthropoda,Insecta,Coleoptera,Ptiliidae,NA,Ptiliidae sp. BOLD-2016,118,0,0,312,430,0.427%
Raphiocera ornata,Arthropoda,Insecta,Diptera,Stratiomyidae,Raphiocera,Raphiocera ornata,0,0,4,14,18,0.018%
Rubrocuneocoris calvertae,Arthropoda,Insecta,Hemiptera,Miridae,Rubrocuneocoris,Rubrocuneocoris calvertae,0,0,0,1464,1464,1.453%
Sarcoptiformes,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,3,977,15,17,1012,1.004%
Scheloribates,Arthropoda,Arachnida,Sarcoptiformes,Scheloribatidae,Scheloribates,NA,0,117,0,0,117,0.116%
Sciaridae,Arthropoda,Insecta,Diptera,Sciaridae,NA,NA,20,0,0,3,23,0.023%
Sciaridae sp.,Arthropoda,Insecta,Diptera,Sciaridae,NA,Sciaridae sp.,21,0,0,0,21,0.021%
Sclerobunus robustus,Arthropoda,Arachnida,Opiliones,Paranonychidae,Sclerobunus,Sclerobunus robustus,0,4,0,46,50,0.050%
Scorpiones,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,36,0,0,0,36,0.036%
Serratella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,NA,0,13,0,0,13,0.013%
Simulium,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA,0,0,2,0,2,0.002%
Sirthenea nitida,Arthropoda,Insecta,Hemiptera,Reduviidae,Sirthenea,Sirthenea nitida,0,3,0,0,3,0.003%
Solenopsis mameti,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis mameti,0,0,49,3888,3937,3.907%
Sophonia orientalis,Arthropoda,Insecta,Hemiptera,Cicadellidae,Sophonia,Sophonia orientalis,0,0,3,0,3,0.003%
Spherillo,Arthropoda,Malacostraca,Isopoda,Armadillidae,Spherillo,NA,0,326,241,0,567,0.563%
Spirobolida,Arthropoda,Diplopoda,Spirobolida,NA,NA,NA,0,0,5,0,5,0.005%
Staphylinidae,Arthropoda,Insecta,Coleoptera,Staphylinidae,NA,NA,0,6,0,0,6,0.006%
Staphylinidae sp. sc_03851,Arthropoda,Insecta,Coleoptera,Staphylinidae,NA,Staphylinidae sp. sc_03851,0,0,0,38,38,0.038%
Sweltsa,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Sweltsa,NA,0,0,0,13,13,0.013%
Synalpheus digueti complex sp. D KMH-2014,Arthropoda,Malacostraca,Decapoda,Alpheidae,Synalpheus,Synalpheus digueti complex sp. D KMH-2014,0,0,0,17,17,0.017%
Synopeas,Arthropoda,Insecta,Hymenoptera,Platygastridae,Synopeas,NA,0,3,0,0,3,0.003%
Technomyrmex vitiensis,Arthropoda,Insecta,Hymenoptera,Formicidae,Technomyrmex,Technomyrmex vitiensis,0,0,0,4,4,0.004%
Tegolophus oblatus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Tegolophus,Tegolophus oblatus,46,0,36,125,207,0.205%
Temnoplectron,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Temnoplectron,NA,0,0,0,16,16,0.016%
Tetraclita serrata,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita serrata,0,0,5,11,16,0.016%
Tettigoniidae sp. sc_02543,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,Tettigoniidae sp. sc_02543,0,11,0,0,11,0.011%
Theopompa,Arthropoda,Insecta,Mantodea,Gonypetidae,Theopompa,NA,7,19,0,0,26,0.026%
Theraphosidae,Arthropoda,Arachnida,Araneae,Theraphosidae,NA,NA,0,0,0,25,25,0.025%
Theridiidae,Arthropoda,Arachnida,Araneae,Theridiidae,NA,NA,0,0,0,13,13,0.013%
Timema bartmani,Arthropoda,Insecta,Phasmatodea,Timematidae,Timema,Timema bartmani,0,25,0,4,29,0.029%
Troglarmadillo sp. WAM-TRGL001,Arthropoda,Malacostraca,Isopoda,Armadillidae,Troglarmadillo,Troglarmadillo sp. WAM-TRGL001,0,59,0,0,59,0.059%
Trombidiformes,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,5,99,0,0,104,0.103%
Vitronura macgillivrayi,Arthropoda,Collembola,Poduromorpha,Neanuridae,Vitronura,Vitronura macgillivrayi,0,0,0,15,15,0.015%
Wyeomyia,Arthropoda,Insecta,Diptera,Culicidae,Wyeomyia,NA,0,258,0,0,258,0.256%
Xyleborinus saxesenii,Arthropoda,Insecta,Coleoptera,Curculionidae,Xyleborinus,Xyleborinus saxesenii,0,0,3,3,6,0.006%
Xyleborus,Arthropoda,Insecta,Coleoptera,Curculionidae,Xyleborus,NA,0,0,15,0,15,0.015%
Zale declarans,Arthropoda,Insecta,Lepidoptera,Erebidae,Zale,Zale declarans,0,0,7,0,7,0.007%
Zethus angulatus,Arthropoda,Insecta,Hymenoptera,Vespidae,Zethus,Zethus angulatus,5,0,0,0,5,0.005%
Zoosphaerium sp. 4 TW-2021,Arthropoda,Diplopoda,Sphaerotheriida,Sphaerotheriidae,Zoosphaerium,Zoosphaerium sp. 4 TW-2021,0,0,4,0,4,0.004%
