lowest_taxon,class,order,family,genus,species,aihualama_1,aihualama_2,aihualama_3,aihualama_4,total_reads,total_reads
Sciaridae,Insecta,Diptera,Sciaridae,NA,NA,20,0,0,3,23,0.023%
Sciaridae sp.,Insecta,Diptera,Sciaridae,NA,Sciaridae sp.,21,0,0,0,21,0.021%
Sclerobunus robustus,Arachnida,Opiliones,Paranonychidae,Sclerobunus,Sclerobunus robustus,0,4,0,46,50,0.050%
Scorpiones,Arachnida,Scorpiones,NA,NA,NA,36,0,0,0,36,0.036%
Serratella,Insecta,Ephemeroptera,Ephemerellidae,Serratella,NA,0,13,0,0,13,0.013%
Simulium,Insecta,Diptera,Simuliidae,Simulium,NA,0,0,2,0,2,0.002%
Sirthenea nitida,Insecta,Hemiptera,Reduviidae,Sirthenea,Sirthenea nitida,0,3,0,0,3,0.003%
Solenopsis mameti,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis mameti,0,0,49,3888,3937,3.907%
Sophonia orientalis,Insecta,Hemiptera,Cicadellidae,Sophonia,Sophonia orientalis,0,0,3,0,3,0.003%
Spherillo,Malacostraca,Isopoda,Armadillidae,Spherillo,NA,0,326,241,0,567,0.563%
Spirobolida,Diplopoda,Spirobolida,NA,NA,NA,0,0,5,0,5,0.005%
Staphylinidae,Insecta,Coleoptera,Staphylinidae,NA,NA,0,6,0,0,6,0.006%
Staphylinidae sp. sc_03851,Insecta,Coleoptera,Staphylinidae,NA,Staphylinidae sp. sc_03851,0,0,0,38,38,0.038%
Sweltsa,Insecta,Plecoptera,Chloroperlidae,Sweltsa,NA,0,0,0,13,13,0.013%
Synalpheus digueti complex sp. D KMH-2014,Malacostraca,Decapoda,Alpheidae,Synalpheus,Synalpheus digueti complex sp. D KMH-2014,0,0,0,17,17,0.017%
Synopeas,Insecta,Hymenoptera,Platygastridae,Synopeas,NA,0,3,0,0,3,0.003%
Technomyrmex vitiensis,Insecta,Hymenoptera,Formicidae,Technomyrmex,Technomyrmex vitiensis,0,0,0,4,4,0.004%
Tegolophus oblatus,Arachnida,Trombidiformes,Eriophyidae,Tegolophus,Tegolophus oblatus,46,0,36,125,207,0.205%
Temnoplectron,Insecta,Coleoptera,Scarabaeidae,Temnoplectron,NA,0,0,0,16,16,0.016%
Tetraclita serrata,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita serrata,0,0,5,11,16,0.016%
Tettigoniidae sp. sc_02543,Insecta,Orthoptera,Tettigoniidae,NA,Tettigoniidae sp. sc_02543,0,11,0,0,11,0.011%
Theopompa,Insecta,Mantodea,Gonypetidae,Theopompa,NA,7,19,0,0,26,0.026%
Theraphosidae,Arachnida,Araneae,Theraphosidae,NA,NA,0,0,0,25,25,0.025%
Theridiidae,Arachnida,Araneae,Theridiidae,NA,NA,0,0,0,13,13,0.013%
Timema bartmani,Insecta,Phasmatodea,Timematidae,Timema,Timema bartmani,0,25,0,4,29,0.029%
Troglarmadillo sp. WAM-TRGL001,Malacostraca,Isopoda,Armadillidae,Troglarmadillo,Troglarmadillo sp. WAM-TRGL001,0,59,0,0,59,0.059%
Trombidiformes,Arachnida,Trombidiformes,NA,NA,NA,5,99,0,0,104,0.103%
Vitronura macgillivrayi,Collembola,Poduromorpha,Neanuridae,Vitronura,Vitronura macgillivrayi,0,0,0,15,15,0.015%
Wyeomyia,Insecta,Diptera,Culicidae,Wyeomyia,NA,0,258,0,0,258,0.256%
Xyleborinus saxesenii,Insecta,Coleoptera,Curculionidae,Xyleborinus,Xyleborinus saxesenii,0,0,3,3,6,0.006%
Xyleborus,Insecta,Coleoptera,Curculionidae,Xyleborus,NA,0,0,15,0,15,0.015%
Zale declarans,Insecta,Lepidoptera,Erebidae,Zale,Zale declarans,0,0,7,0,7,0.007%
Zethus angulatus,Insecta,Hymenoptera,Vespidae,Zethus,Zethus angulatus,5,0,0,0,5,0.005%
Zoosphaerium sp. 4 TW-2021,Diplopoda,Sphaerotheriida,Sphaerotheriidae,Zoosphaerium,Zoosphaerium sp. 4 TW-2021,0,0,4,0,4,0.004%
