Query_ID,Query_Length,Subject_ID,%_Identity,Alignment_Length,Query_Start,Query_End,Subject_Start,Subject_End,E-value,Bit_Score,Subject_Taxonomy_ID
ASV3_count_18436,411,gi|157365258|gb|EF650489.1|,90.268,411,1,411,215,625,2.38e-148,538,104788
ASV3_count_18436,411,gi|134141754|gb|EF173241.1|,90.024,411,1,411,116,526,1.11e-146,532,104782
ASV3_count_18436,411,gi|134141640|gb|EF173184.1|,90.024,411,1,411,242,652,1.11e-146,532,433698
ASV4_count_15369,411,gi|134141712|gb|EF173220.1|,90.511,411,1,411,158,568,5.11e-150,544,104782
ASV4_count_15369,411,gi|1776910796|gb|MK330893.1|,90.977,399,1,399,228,626,2.38e-148,538,2675676
ASV4_count_15369,411,gi|703599942|gb|KM043178.1|,90.268,411,1,411,257,667,2.38e-148,538,758807
ASV4_count_15369,411,gi|2522199197|gb|OR145256.1|,90.268,411,1,411,212,622,2.38e-148,538,3053817
ASV4_count_15369,411,gi|296011673|gb|HM033015.1|,91.733,375,1,375,217,591,2.39e-143,521,764084
ASV4_count_15369,411,gi|407081085|gb|JQ309154.1|,89.538,411,1,411,242,652,2.39e-143,521,1236084
ASV4_count_15369,411,gi|134141754|gb|EF173241.1|,89.538,411,1,411,116,526,2.39e-143,521,104782
ASV4_count_15369,411,gi|2173086990|gb|OM142492.1|,89.538,411,1,411,251,661,2.39e-143,521,2908068
ASV4_count_15369,411,gi|134141776|gb|EF173252.1|,89.294,411,1,411,242,652,1.11e-141,516,104782
ASV4_count_15369,411,gi|239584331|gb|FJ426427.1|,89.294,411,1,411,242,652,1.11e-141,516,468668
ASV5_count_13917,408,gi|2447738674|gb|OQ481509.1|,100.000,307,102,408,1,307,3.01e-157,568,3029330
ASV5_count_13917,408,gi|2447700520|gb|OQ477732.1|,98.046,307,102,408,1,307,1.41e-150,545,3029330
ASV6_count_11830,408,gi|259880959|gb|GQ373452.1|,100.000,408,1,408,246,653,0.0,754,676284;1900700;3376863
ASV6_count_11830,408,gi|259880969|gb|GQ373457.1|,100.000,408,1,408,224,631,0.0,754,676284
ASV6_count_11830,408,gi|2843547685|gb|PQ539764.1|,100.000,408,1,408,96,503,0.0,754,3376863
ASV6_count_11830,408,gi|2843547681|gb|PQ539762.1|,100.000,408,1,408,159,566,0.0,754,3376863
ASV6_count_11830,408,gi|259880965|gb|GQ373455.1|,100.000,408,1,408,243,650,0.0,754,676284
ASV6_count_11830,408,gi|2843547693|gb|PQ539768.1|,99.755,408,1,408,246,653,0.0,749,3376863
ASV6_count_11830,408,gi|1927926152|gb|MW193972.1|,99.755,408,1,408,247,654,0.0,749,2783789
ASV6_count_11830,408,gi|259880967|gb|GQ373456.1|,100.000,390,7,396,1,390,0.0,721,676284
ASV6_count_11830,408,gi|1274591549|gb|MF987864.1|,99.675,308,101,408,1,308,3.89e-156,564,2052505
ASV7_count_9469,411,gi|1005054389|gb|KU860605.1|,92.172,396,1,396,236,631,5.08e-155,560,1813169
ASV7_count_9469,411,gi|157365408|gb|EF650564.1|,90.998,411,1,411,242,652,2.36e-153,555,317506
ASV7_count_9469,411,gi|703599950|gb|KM043182.1|,90.998,411,1,411,239,649,2.36e-153,555,104782
ASV7_count_9469,411,gi|1005054393|gb|KU860607.1|,91.919,396,1,396,236,631,2.36e-153,555,1813169
ASV7_count_9469,411,gi|659495575|gb|KJ543643.1|,91.133,406,1,406,245,650,3.05e-152,551,1511448
ASV7_count_9469,411,gi|1005054435|gb|KU860628.1|,91.667,396,1,396,236,631,1.10e-151,549,1813169
ASV7_count_9469,411,gi|703599942|gb|KM043178.1|,90.754,411,1,411,257,667,1.10e-151,549,758807
ASV7_count_9469,411,gi|134141776|gb|EF173252.1|,90.754,411,1,411,242,652,1.10e-151,549,104782
ASV7_count_9469,411,gi|134141688|gb|EF173208.1|,90.754,411,1,411,242,652,1.10e-151,549,433716
ASV7_count_9469,411,gi|134141788|gb|EF173258.1|,90.754,411,1,411,213,623,1.10e-151,549,104782
ASV10_count_7098,411,gi|1509790191|gb|MH251756.1|,90.754,411,1,411,187,597,1.10e-151,549,104788
ASV10_count_7098,411,gi|134141712|gb|EF173220.1|,90.268,411,1,411,158,568,2.38e-148,538,104782
ASV10_count_7098,411,gi|1509790193|gb|MH251757.1|,89.781,411,1,411,165,575,3.08e-147,534,104788
ASV10_count_7098,411,gi|1509790195|gb|MH251758.1|,89.781,411,1,411,146,556,3.08e-147,534,104788
ASV10_count_7098,411,gi|134141756|gb|EF173242.1|,89.781,411,1,411,236,646,1.11e-146,532,104782
ASV10_count_7098,411,gi|1005054389|gb|KU860605.1|,90.863,394,1,394,236,629,1.43e-145,529,1813169
ASV10_count_7098,411,gi|157365462|gb|EF650591.1|,89.781,411,1,411,242,652,5.15e-145,527,104788
ASV10_count_7098,411,gi|134141790|gb|EF173259.1|,89.781,411,1,411,169,579,5.15e-145,527,104782
ASV10_count_7098,411,gi|134141768|gb|EF173248.1|,89.781,411,1,411,169,579,5.15e-145,527,104782
ASV10_count_7098,411,gi|134141770|gb|EF173249.1|,89.538,411,1,411,174,584,2.39e-143,521,104782
ASV11_count_6570,374,gi|1811126237|gb|MN526248.1|,93.671,79,261,339,555,633,3.31e-22,119,2651742
ASV11_count_6570,374,gi|1597696342|gb|MK291065.1|,86.792,106,264,369,543,648,3.31e-22,119,2496466
ASV11_count_6570,374,gi|1786488211|gb|MN853780.1|,87.255,102,243,344,485,586,1.19e-21,117,2690945
ASV11_count_6570,374,gi|158934787|emb|AM403845.1|,90.805,87,287,373,564,650,1.19e-21,117,405972
ASV15_count_5410,411,gi|157365408|gb|EF650564.1|,91.484,411,1,411,242,652,1.09e-156,566,317506
ASV15_count_5410,411,gi|703599942|gb|KM043178.1|,91.241,411,1,411,257,667,5.08e-155,560,758807
ASV15_count_5410,411,gi|134141776|gb|EF173252.1|,91.241,411,1,411,242,652,5.08e-155,560,104782
ASV15_count_5410,411,gi|703599950|gb|KM043182.1|,91.241,411,1,411,239,649,5.08e-155,560,104782
ASV15_count_5410,411,gi|134141780|gb|EF173254.1|,91.241,411,1,411,242,652,5.08e-155,560,104782
ASV15_count_5410,411,gi|134141788|gb|EF173258.1|,91.241,411,1,411,213,623,5.08e-155,560,104782
ASV15_count_5410,411,gi|659495515|gb|KJ543613.1|,90.998,411,1,411,245,652,3.05e-152,551,1511423
ASV15_count_5410,411,gi|830872041|gb|KR133420.1|,92.651,381,1,381,215,595,1.10e-151,549,1659241
ASV15_count_5410,411,gi|402761745|gb|JX184004.1|,90.754,411,1,411,290,700,1.10e-151,549,104788
ASV15_count_5410,411,gi|659495501|gb|KJ543606.1|,90.754,411,1,411,245,652,1.42e-150,545,1511416
ASV16_count_5227,411,gi|134141756|gb|EF173242.1|,87.348,411,1,411,236,646,5.26e-130,477,104782
ASV16_count_5227,411,gi|134141720|gb|EF173224.1|,87.105,411,1,411,242,652,1.14e-126,466,104782
ASV16_count_5227,411,gi|1776910796|gb|MK330893.1|,87.469,399,1,399,228,626,5.30e-125,460,2675676
ASV16_count_5227,411,gi|157365248|gb|EF650484.1|,87.563,394,1,394,224,617,6.85e-124,457,468628
ASV16_count_5227,411,gi|157365396|gb|EF650558.1|,86.618,411,1,411,242,652,2.46e-123,455,317506
ASV16_count_5227,411,gi|71840274|gb|DQ078584.1|,88.533,375,1,375,217,591,2.46e-123,455,338313
ASV16_count_5227,411,gi|301068902|gb|GQ465632.1|,86.618,411,1,411,57,467,2.46e-123,455,104782
ASV16_count_5227,411,gi|301068894|gb|GQ465628.1|,86.618,411,1,411,51,461,2.46e-123,455,104782
ASV16_count_5227,411,gi|157365398|gb|EF650559.1|,86.618,411,1,411,242,652,2.46e-123,455,317506
ASV16_count_5227,411,gi|157365400|gb|EF650560.1|,86.553,409,1,409,242,650,3.19e-122,451,317506
ASV17_count_5003,408,gi|2878821371|gb|PQ563290.1|,95.813,406,3,408,298,703,0.0,656,3135960
ASV17_count_5003,408,gi|2724824530|gb|PP746562.1|,86.453,406,1,406,47094,47499,1.47e-120,446,33092
ASV18_count_4536,408,gi|2264479483|gb|OL549142.1|,86.352,381,9,389,260,640,1.15e-111,416,2507077
ASV20_count_3937,408,gi|169260209|gb|EU525219.1|,100.000,408,1,408,214,621,0.0,754,443844
ASV20_count_3937,408,gi|148376753|gb|EF610508.1|,100.000,408,1,408,245,652,0.0,754,443844
ASV20_count_3937,408,gi|295307701|gb|GU709759.1|,100.000,408,1,408,232,639,0.0,754,443844
ASV20_count_3937,408,gi|148376559|gb|EF610411.1|,100.000,408,1,408,224,631,0.0,754,443844
ASV20_count_3937,408,gi|148376505|gb|EF610384.1|,100.000,408,1,408,196,603,0.0,754,443844
ASV20_count_3937,408,gi|148376539|gb|EF610401.1|,100.000,408,1,408,245,652,0.0,754,443844
ASV20_count_3937,408,gi|148376733|gb|EF610498.1|,100.000,408,1,408,244,651,0.0,754,443844
ASV20_count_3937,408,gi|148376681|gb|EF610472.1|,100.000,408,1,408,244,651,0.0,754,443844
ASV20_count_3937,408,gi|148376741|gb|EF610502.1|,100.000,408,1,408,245,652,0.0,754,443844
ASV20_count_3937,408,gi|342771035|gb|JN283301.1|,100.000,408,1,408,243,650,0.0,754,443844
ASV25_count_3598,408,gi|327195223|ref|NC_015316.1|,87.931,406,1,406,51299,51704,1.45e-130,479,574566
ASV25_count_3598,408,gi|1870286304|gb|AC279733.1|,87.931,406,1,406,22833,22428,1.45e-130,479,574566
ASV25_count_3598,408,gi|1476021846|gb|AC278121.1|,87.931,406,1,406,22859,22454,1.45e-130,479,574566
ASV26_count_3289,408,gi|2878821333|gb|PQ563289.1|,96.814,408,1,408,317,724,0.0,682,2911190
ASV26_count_3289,408,gi|2106301899|dbj|AP025007.1|,96.324,408,1,408,1264,857,0.0,671,2315456
ASV26_count_3289,408,gi|327195223|ref|NC_015316.1|,89.409,406,3,408,51301,51706,1.43e-140,512,574566
ASV26_count_3289,408,gi|1870286304|gb|AC279733.1|,89.409,406,3,408,22831,22426,1.43e-140,512,574566
ASV26_count_3289,408,gi|1476021846|gb|AC278121.1|,89.409,406,3,408,22857,22452,1.43e-140,512,574566
ASV27_count_3278,408,gi|2878821371|gb|PQ563290.1|,96.059,406,3,408,298,703,0.0,662,3135960
ASV27_count_3278,408,gi|2724824530|gb|PP746562.1|,86.207,406,1,406,47094,47499,6.84e-119,440,33092
ASV29_count_3082,408,gi|538401105|gb|AF454627.2|,99.510,408,1,408,227,634,0.0,743,196481
ASV29_count_3082,408,gi|544190892|gb|KF601639.1|,99.510,408,1,408,223,630,0.0,743,196481
ASV29_count_3082,408,gi|2627901840|ref|NC_084124.1|,99.265,408,1,408,284,691,0.0,737,2908643
ASV29_count_3082,408,gi|544190926|gb|KF601655.1|,98.039,408,1,408,223,630,0.0,710,196481
ASV29_count_3082,408,gi|544190932|gb|KF601658.1|,98.039,408,1,408,223,630,0.0,710,509176
ASV29_count_3082,408,gi|544190928|gb|KF601656.1|,98.039,408,1,408,223,630,0.0,710,196481
ASV29_count_3082,408,gi|1215845952|ref|NC_035301.1|,98.039,408,1,408,284,691,0.0,710,196481
ASV29_count_3082,408,gi|544190930|gb|KF601657.1|,97.549,408,1,408,223,630,0.0,699,509176
ASV29_count_3082,408,gi|544190886|gb|KF601637.1|,92.138,407,1,407,196,602,1.80e-159,575,509176
ASV29_count_3082,408,gi|1588057451|gb|MK435595.1|,91.892,407,1,407,284,690,8.37e-158,569,509176
ASV30_count_3036,408,gi|2890136720|gb|PP180710.1|,85.575,409,1,406,246,651,6.89e-114,424,3394026
ASV30_count_3036,408,gi|1906898270|gb|MW021329.1|,85.396,404,3,406,248,651,8.92e-113,420,1531435
ASV30_count_3036,408,gi|316990335|gb|GU902052.1|,85.390,397,1,394,227,620,6.94e-109,407,913646
ASV32_count_2883,408,gi|2878821371|gb|PQ563290.1|,99.755,408,1,408,296,703,0.0,749,3135960
ASV32_count_2883,408,gi|2724824695|gb|PP746566.1|,85.037,401,3,403,56641,57041,1.93e-109,409,163310
ASV35_count_2679,411,gi|1509790295|gb|MH251808.1|,89.781,411,1,411,165,575,5.15e-145,527,468654
ASV35_count_2679,411,gi|157365352|gb|EF650536.1|,89.781,411,1,411,215,625,5.15e-145,527,104788
ASV35_count_2679,411,gi|2316822933|gb|OP644282.1|,89.538,411,1,411,248,658,2.39e-143,521,2986359
ASV35_count_2679,411,gi|157365364|gb|EF650542.1|,89.294,411,1,411,242,652,1.11e-141,516,317506
ASV35_count_2679,411,gi|134141720|gb|EF173224.1|,89.294,411,1,411,242,652,1.11e-141,516,104782
ASV35_count_2679,411,gi|1776910796|gb|MK330893.1|,89.724,399,1,399,228,626,5.18e-140,510,2675676
ASV35_count_2679,411,gi|239584331|gb|FJ426427.1|,89.051,411,1,411,242,652,5.18e-140,510,468668
ASV35_count_2679,411,gi|2445153809|gb|OQ445493.1|,89.698,398,1,398,245,642,1.86e-139,508,3028286
ASV35_count_2679,411,gi|2445153817|gb|OQ445497.1|,89.698,398,1,398,245,642,1.86e-139,508,3028290
ASV35_count_2679,411,gi|2445153807|gb|OQ445492.1|,89.698,398,1,398,245,642,1.86e-139,508,3028285
ASV36_count_2585,408,gi|2284770564|gb|OK316703.1|,86.607,112,297,408,539,650,7.83e-24,124,2484513
ASV36_count_2585,408,gi|2284770694|gb|OK316768.1|,87.379,103,297,399,539,641,3.64e-22,119,2484513
ASV36_count_2585,408,gi|2284770716|gb|OK316779.1|,85.714,112,297,408,491,602,3.64e-22,119,2484513
ASV36_count_2585,408,gi|2284770388|gb|OK316615.1|,85.714,112,297,408,539,650,3.64e-22,119,2484513
ASV36_count_2585,408,gi|1491964622|gb|MG409356.1|,86.538,104,306,408,550,652,1.69e-20,113,2444887
ASV36_count_2585,408,gi|1809656048|gb|MK440726.1|,88.764,89,320,408,522,610,2.19e-19,110,1836461
ASV36_count_2585,408,gi|1045900578|gb|KX384794.1|,88.764,89,320,408,489,577,2.19e-19,110,1879046
ASV36_count_2585,408,gi|1045900584|gb|KX384797.1|,88.764,89,320,408,489,577,2.19e-19,110,1879046
ASV36_count_2585,408,gi|2581904427|gb|OR601755.1|,88.764,89,320,408,534,622,2.19e-19,110,3077100
ASV36_count_2585,408,gi|2619967500|gb|OR794503.1|,88.764,89,320,408,534,622,2.19e-19,110,3077100
ASV37_count_2585,408,gi|1228304400|gb|KY633387.1|,96.078,408,1,408,245,652,0.0,665,2023667
ASV37_count_2585,408,gi|2871496815|gb|PP136916.1|,87.931,406,3,408,248,653,1.45e-130,479,3386439
ASV37_count_2585,408,gi|2871496809|gb|PP136913.1|,87.901,405,3,407,248,652,5.22e-130,477,3386439
ASV37_count_2585,408,gi|2871496803|gb|PP136910.1|,87.901,405,3,407,248,652,5.22e-130,477,3386439
ASV37_count_2585,408,gi|33330135|gb|AF534852.1|,87.871,404,3,406,232,635,1.88e-129,475,212339
ASV37_count_2585,408,gi|2871496827|gb|PP136922.1|,87.624,404,3,406,248,651,8.73e-128,470,3386440
ASV37_count_2585,408,gi|2871496819|gb|PP136918.1|,87.624,404,3,406,248,651,8.73e-128,470,3386440
ASV37_count_2585,408,gi|2871496831|gb|PP136924.1|,87.624,404,3,406,248,651,8.73e-128,470,3386440
ASV37_count_2585,408,gi|33330133|gb|AF534851.1|,87.376,404,3,406,232,635,4.06e-126,464,212339
ASV37_count_2585,408,gi|2871496765|gb|PP136891.1|,87.531,401,7,406,252,651,1.46e-125,462,3386437
ASV41_count_2402,411,gi|659495575|gb|KJ543643.1|,87.073,410,1,409,245,653,1.47e-125,462,1511448
ASV41_count_2402,411,gi|301068942|gb|GQ465652.1|,86.893,412,1,411,236,646,5.30e-125,460,104782
ASV41_count_2402,411,gi|239584331|gb|FJ426427.1|,86.618,411,1,411,242,652,2.46e-123,455,468668
ASV41_count_2402,411,gi|239584329|gb|FJ426426.1|,86.618,411,1,411,242,652,2.46e-123,455,468668
ASV41_count_2402,411,gi|407081085|gb|JQ309154.1|,86.375,411,1,411,242,652,1.15e-121,449,1236084
ASV41_count_2402,411,gi|659495505|gb|KJ543608.1|,86.408,412,1,411,245,652,1.48e-120,446,1511418
ASV41_count_2402,411,gi|134141702|gb|EF173215.1|,86.131,411,1,411,182,592,5.33e-120,444,104782
ASV41_count_2402,411,gi|301068918|gb|GQ465640.1|,86.131,411,1,411,235,645,5.33e-120,444,433720
ASV41_count_2402,411,gi|157365336|gb|EF650528.1|,86.165,412,1,411,242,652,5.33e-120,444,317506
ASV41_count_2402,411,gi|157365364|gb|EF650542.1|,86.131,411,1,411,242,652,5.33e-120,444,317506
ASV42_count_2311,411,gi|703599978|gb|KM043196.1|,89.294,411,1,411,257,667,1.11e-141,516,468659
ASV42_count_2311,411,gi|659495587|gb|KJ543649.1|,88.808,411,1,411,90,500,2.41e-138,505,1511454
ASV42_count_2311,411,gi|703599946|gb|KM043180.1|,88.321,411,1,411,257,667,5.22e-135,494,104782
ASV42_count_2311,411,gi|157365252|gb|EF650486.1|,88.321,411,1,411,242,652,5.22e-135,494,468654
ASV42_count_2311,411,gi|2445153809|gb|OQ445493.1|,88.945,398,1,398,245,642,1.88e-134,492,3028286
ASV42_count_2311,411,gi|2445153817|gb|OQ445497.1|,88.945,398,1,398,245,642,1.88e-134,492,3028290
ASV42_count_2311,411,gi|2445153807|gb|OQ445492.1|,88.945,398,1,398,245,642,1.88e-134,492,3028285
ASV42_count_2311,411,gi|2445153819|gb|OQ445498.1|,88.945,398,1,398,245,642,1.88e-134,492,3028291
ASV42_count_2311,411,gi|1229626352|gb|MF503437.1|,88.078,411,1,411,242,652,2.43e-133,488,433698
ASV42_count_2311,411,gi|1229626344|gb|MF503433.1|,88.078,411,1,411,245,655,2.43e-133,488,433698
ASV45_count_2199,408,gi|2496731004|gb|ON342219.1|,89.216,408,1,408,246,653,1.43e-140,512,3042745
ASV45_count_2199,408,gi|2496731186|gb|ON342310.1|,89.216,408,1,408,246,653,5.14e-140,510,3042745
ASV45_count_2199,408,gi|1074959779|gb|KT118145.1|,88.971,408,1,408,246,653,2.39e-138,505,1881761
ASV45_count_2199,408,gi|1060909398|gb|KR642516.1|,88.971,408,1,408,246,653,2.39e-138,505,1881761
ASV45_count_2199,408,gi|1068007781|gb|KT102738.1|,88.971,408,1,408,245,652,2.39e-138,505,1881761
ASV45_count_2199,408,gi|321138442|gb|HQ982476.1|,88.971,408,1,408,246,653,2.39e-138,505,1881761;2327215;2327217
ASV45_count_2199,408,gi|2647486668|gb|PP110213.1|,88.971,408,1,408,27,434,2.39e-138,505,3113266
ASV45_count_2199,408,gi|1063770078|gb|KT107778.1|,88.725,408,1,408,246,653,1.11e-136,499,1881761
ASV45_count_2199,408,gi|320566587|gb|HQ945280.1|,88.725,408,1,408,246,653,1.11e-136,499,1722205
ASV45_count_2199,408,gi|331174882|gb|JF867991.1|,88.725,408,1,408,246,653,1.11e-136,499,1474006;1881761;2327141;2401916;2402038
ASV46_count_2176,408,gi|2284770564|gb|OK316703.1|,86.607,112,297,408,539,650,7.83e-24,124,2484513
ASV46_count_2176,408,gi|2284770694|gb|OK316768.1|,87.379,103,297,399,539,641,3.64e-22,119,2484513
ASV46_count_2176,408,gi|2284770716|gb|OK316779.1|,85.714,112,297,408,491,602,3.64e-22,119,2484513
ASV46_count_2176,408,gi|2284770388|gb|OK316615.1|,85.714,112,297,408,539,650,3.64e-22,119,2484513
ASV46_count_2176,408,gi|1491964622|gb|MG409356.1|,86.538,104,306,408,550,652,1.69e-20,113,2444887
ASV46_count_2176,408,gi|1809656048|gb|MK440726.1|,88.764,89,320,408,522,610,2.19e-19,110,1836461
ASV46_count_2176,408,gi|1045900578|gb|KX384794.1|,88.764,89,320,408,489,577,2.19e-19,110,1879046
ASV46_count_2176,408,gi|1045900584|gb|KX384797.1|,88.764,89,320,408,489,577,2.19e-19,110,1879046
ASV46_count_2176,408,gi|2581904427|gb|OR601755.1|,88.764,89,320,408,534,622,2.19e-19,110,3077100
ASV46_count_2176,408,gi|2619967500|gb|OR794503.1|,88.764,89,320,408,534,622,2.19e-19,110,3077100
ASV47_count_2167,408,gi|407025567|gb|JQ964779.1|,89.286,112,297,408,556,667,7.77e-29,141,1981414
ASV47_count_2167,408,gi|1009082956|gb|KT307581.1|,89.320,103,306,408,557,659,1.68e-25,130,475976
ASV47_count_2167,408,gi|559772924|gb|KF582649.1|,87.379,103,306,408,557,659,3.64e-22,119,1421218
ASV47_count_2167,408,gi|2194000281|gb|OM674554.1|,85.714,112,297,408,542,653,3.64e-22,119,2917860
ASV47_count_2167,408,gi|936227067|gb|KT211715.1|,85.714,112,297,407,538,649,1.31e-21,117,1729722
ASV47_count_2167,408,gi|665768239|gb|KJ549906.1|,85.321,109,300,408,545,653,1.69e-20,113,1519816
ASV47_count_2167,408,gi|665768913|gb|KJ550243.1|,85.321,109,300,408,545,653,1.69e-20,113,1519816
ASV47_count_2167,408,gi|312933741|gb|HM900400.1|,85.321,109,300,408,545,653,1.69e-20,113,197152;1502406
ASV47_count_2167,408,gi|669677976|gb|KF438124.1|,85.321,109,300,408,545,653,1.69e-20,113,197152
ASV47_count_2167,408,gi|1041599429|gb|KU757182.1|,85.321,109,300,408,491,599,1.69e-20,113,197152
ASV49_count_2078,408,gi|959945313|gb|KT818881.1|,91.667,408,1,408,222,629,1.08e-156,566,1763603
ASV49_count_2078,408,gi|1420814588|gb|MF876697.1|,90.931,408,1,408,246,653,1.09e-151,549,2261200
ASV49_count_2078,408,gi|1420815510|gb|MF877158.1|,90.931,408,1,408,245,652,1.09e-151,549,2261284
ASV49_count_2078,408,gi|2232374288|gb|OM552504.1|,90.887,406,1,406,246,651,1.41e-150,545,2938412
ASV49_count_2078,408,gi|2258869968|gb|OM313741.1|,90.887,406,1,406,227,632,1.41e-150,545,2938412
ASV49_count_2078,408,gi|1383770375|gb|MF179271.1|,90.686,408,1,408,242,649,5.07e-150,544,59161
ASV49_count_2078,408,gi|331193074|gb|JF879114.1|,90.686,408,1,408,246,653,5.07e-150,544,1692337
ASV49_count_2078,408,gi|296463124|gb|GU672897.1|,90.686,408,1,408,246,653,5.07e-150,544,1107688;1692337
ASV49_count_2078,408,gi|310969123|gb|HM861266.1|,90.686,408,1,408,246,653,5.07e-150,544,1692337
ASV49_count_2078,408,gi|331193240|gb|JF879197.1|,90.686,408,1,408,246,653,5.07e-150,544,1692337
ASV51_count_2002,411,gi|301068924|gb|GQ465643.1|,89.051,411,1,411,234,644,5.18e-140,510,104782
ASV51_count_2002,411,gi|134141672|gb|EF173200.1|,89.051,411,1,411,216,626,5.18e-140,510,433708
ASV51_count_2002,411,gi|134141790|gb|EF173259.1|,88.808,411,1,411,169,579,2.41e-138,505,104782
ASV51_count_2002,411,gi|134141770|gb|EF173249.1|,88.321,411,1,411,174,584,5.22e-135,494,104782
ASV51_count_2002,411,gi|134141750|gb|EF173239.1|,88.321,411,1,411,214,624,5.22e-135,494,104782
ASV51_count_2002,411,gi|1005054487|gb|KU860654.1|,89.086,394,1,394,236,629,6.75e-134,490,1813167
ASV51_count_2002,411,gi|134141710|gb|EF173219.1|,88.078,411,1,411,242,652,2.43e-133,488,104782
ASV51_count_2002,411,gi|134141706|gb|EF173217.1|,88.078,411,1,411,242,652,2.43e-133,488,104782
ASV51_count_2002,411,gi|134141708|gb|EF173218.1|,88.078,411,1,411,242,652,2.43e-133,488,104782
ASV51_count_2002,411,gi|1005054465|gb|KU860643.1|,88.832,394,1,394,236,629,3.14e-132,484,1813167
ASV53_count_1985,411,gi|659495575|gb|KJ543643.1|,88.670,406,1,406,245,650,1.45e-135,496,1511448
ASV53_count_1985,411,gi|134141776|gb|EF173252.1|,88.078,411,1,411,242,652,2.43e-133,488,104782
ASV53_count_1985,411,gi|157365356|gb|EF650538.1|,87.835,411,1,411,236,646,1.13e-131,483,317506
ASV53_count_1985,411,gi|134141788|gb|EF173258.1|,87.835,411,1,411,213,623,1.13e-131,483,104782
ASV53_count_1985,411,gi|157365364|gb|EF650542.1|,87.621,412,1,411,242,652,5.26e-130,477,317506
ASV53_count_1985,411,gi|1005054379|gb|KU860600.1|,88.384,396,1,396,236,631,5.26e-130,477,1813168
ASV53_count_1985,411,gi|134141752|gb|EF173240.1|,87.379,412,1,411,242,652,2.45e-128,472,104782
ASV53_count_1985,411,gi|134141732|gb|EF173230.1|,88.976,381,1,381,242,622,2.45e-128,472,104782
ASV53_count_1985,411,gi|72153586|gb|DQ089725.1|,87.379,412,1,411,246,656,2.45e-128,472,104782
ASV53_count_1985,411,gi|703599954|gb|KM043184.1|,87.379,412,1,411,257,667,2.45e-128,472,104782
ASV55_count_1833,408,gi|1043378333|ref|NC_030600.1|,87.224,407,1,407,11462,11868,4.06e-126,464,89940
ASV55_count_1833,408,gi|189187603|gb|EU678467.1|,86.275,408,3,408,208,613,6.84e-119,440,78138
ASV55_count_1833,408,gi|1239640086|gb|KY348761.1|,85.819,409,1,408,4511,4918,1.15e-116,433,124099
ASV55_count_1833,408,gi|2804094077|dbj|LC843096.1|,85.366,410,1,408,28313,28720,2.48e-113,422,1157608
ASV55_count_1833,408,gi|2431531765|ref|NC_070366.1|,85.294,408,3,408,965,1370,3.21e-112,418,473018
ASV55_count_1833,408,gi|2749856055|gb|PP855516.1|,85.037,401,1,399,5637,6035,2.50e-108,405,2420206
ASV56_count_1807,408,gi|2234009978|emb|OW485601.1|,86.520,408,1,408,2104245,2103838,1.14e-121,449,504468
ASV56_count_1807,408,gi|2874254073|emb|OY970156.1|,86.375,411,1,408,1191679,1191274,1.90e-119,442,153809
ASV56_count_1807,408,gi|2087447542|gb|CP081869.1|,88.235,289,120,408,3540024,3540312,1.53e-90,346,1437009
